value	count
rrn5	150
rrn4.5	150
rrn16	150
rrn23	146
trnR-ACG	119
trnN-GUU	114
trnV-GAC	98
trnA-UGC	86
trnI-GAU	84
trnF-GAA	63
trnC-GCA	63
trnL-CAA	62
trnQ-UUG	61
trnH-GUG	60
trnfM-CAU	58
trnY-GUA	58
trnG-GCC	57
trnD-GUC	57
trnW-CCA	55
trnP-GGG	52
trnL-UAG	51
trnS-GGA	50
trnE-UUC	50
trnS-UGA	49
trnS-GCU	48
trnM-CAU	48
trnL-UAA	44
trnT-UGU	42
trnR-UCU	42
trnI-CAU	42
trnG-UCC	41
trnT-GGU	40
trnP-UGG	39
trnV-UAC	34
trnK-UUU	33
trnR-CCG	30
trnN	30
trnM	26
trnH	25
trnY	19
trnR	18
trnC	18
trnW	17
trnE	16
trnD	16
trnQ	14
trnL	14
trnF	12
trnN-GTT	10
trnE-UUC tRNA	10
rrn5S	10
rrn4.5S	10
rrn16S	10
trnfM-CAT	5
trnY-GTA	5
trnT-TGT	5
trnT-GGT	5
trnS-TGA	5
trnS-GCT	5
trnR-TCT	5
trnQ-TTG	5
trnQ-CTG	5
trnP-TGG	5
trnM-CAT	5
trnL-TAG	5
trnI-CAT	5
trnH-GTG	5
trnE-TTC	5
trnD-GTC	5
rrn23S	5
trnfM	2
trnS	2
trnG	2
trnD-GUG	2
trnV	1
trnS-GCA	1
trnP-ACG	1
trnP	1
trnD-GUA	1
